recorded_at,point,visit,sample_count,valid_count,valid_ratio,x_abs_m,y_abs_m,z_abs_m,raw_x_abs_m,raw_y_abs_m,raw_z_abs_m,std_x_cm,std_y_cm,std_z_cm,yaw_deg,speed_median_m_s,speed_p90_m_s,confidence_min,confidence_median,confidence_3_ratio,x_m,y_m,distance_from_origin_m,closure_xy_m
2026-07-30 08:56:27,H,1,60,60,1.0,0.0007370313151565354,-0.0002629327904437402,-0.0009081339792416227,0.000716685492079705,-0.0002650175811140798,-0.0009707766294013709,0.0795879282552609,0.03807372387134492,0.035737064045360936,0.04036173189873255,0.0025182194779643074,0.005108809928808906,2,2.0,0.0,0.0,0.0,0.0,
2026-07-30 08:56:55,A,1,60,60,1.0,0.3647093675721938,0.8114477388499943,0.04537695248589463,0.36469249427318573,0.8114750385284424,0.04536878317594528,0.008751478397483485,0.005495662712482104,0.003817054458793441,-0.108273942918588,0.0016855754535910583,0.0028369052002464347,3,3.0,1.0,0.3639723362570373,0.8117106716404381,0.8895785946252174,
2026-07-30 08:57:26,B,1,60,60,1.0,0.32023013341677575,2.2886131322596617,0.05478263652725122,0.3202211409807205,2.2886104583740234,0.054789867252111435,0.024420055789536276,0.007142145511887441,0.0114476346428466,1.2942155597039042,0.0033108125793465605,0.007625783080680879,3,3.0,1.0,0.31949310210161924,2.2888760650501054,2.3110667414529096,
2026-07-30 08:58:10,C_IN,1,59,59,1.0,5.814876766574933,40.65566849448237,7.559821731282753,5.818068027496338,40.72637939453125,7.569710731506348,18.27050668987778,406.6090013035568,56.694827180460926,3.5073377775638805,4.682554494639733,5.138250557187446,2,2,0.0,5.814139735259777,40.65593142727281,41.0695627086561,
